startTime :2015-01-14 12:31:15 || endTime :2015-01-14 13:31:15 || tweets/hour :1
startTime :2015-01-27 10:31:15 || endTime :2015-01-27 11:31:15 || tweets/hour :11
startTime :2015-01-27 11:31:15 || endTime :2015-01-27 12:31:15 || tweets/hour :20
startTime :2015-01-27 12:31:15 || endTime :2015-01-27 13:31:15 || tweets/hour :19
startTime :2015-01-27 13:31:15 || endTime :2015-01-27 14:31:15 || tweets/hour :33
startTime :2015-01-27 14:31:15 || endTime :2015-01-27 15:31:15 || tweets/hour :48
startTime :2015-01-27 15:31:15 || endTime :2015-01-27 16:31:15 || tweets/hour :65
startTime :2015-01-27 16:31:15 || endTime :2015-01-27 17:31:15 || tweets/hour :111
startTime :2015-01-27 17:31:15 || endTime :2015-01-27 18:31:15 || tweets/hour :162
startTime :2015-01-27 18:31:15 || endTime :2015-01-27 19:31:15 || tweets/hour :208
startTime :2015-01-27 19:31:15 || endTime :2015-01-27 20:31:15 || tweets/hour :242
startTime :2015-01-27 20:31:15 || endTime :2015-01-27 21:31:15 || tweets/hour :131
startTime :2015-01-27 21:31:15 || endTime :2015-01-27 22:31:15 || tweets/hour :89
startTime :2015-01-27 22:31:15 || endTime :2015-01-27 23:31:15 || tweets/hour :161
startTime :2015-01-27 23:31:15 || endTime :2015-01-28 00:31:15 || tweets/hour :74
startTime :2015-01-28 00:31:15 || endTime :2015-01-28 01:31:15 || tweets/hour :76
startTime :2015-01-28 01:31:15 || endTime :2015-01-28 02:31:15 || tweets/hour :98
startTime :2015-01-28 02:31:15 || endTime :2015-01-28 03:31:15 || tweets/hour :54
startTime :2015-01-28 03:31:15 || endTime :2015-01-28 04:31:15 || tweets/hour :61
startTime :2015-01-28 04:31:15 || endTime :2015-01-28 05:31:15 || tweets/hour :47
startTime :2015-01-28 05:31:15 || endTime :2015-01-28 06:31:15 || tweets/hour :42
startTime :2015-01-28 06:31:15 || endTime :2015-01-28 07:31:15 || tweets/hour :24
startTime :2015-01-28 07:31:15 || endTime :2015-01-28 08:31:15 || tweets/hour :8
startTime :2015-01-28 08:31:15 || endTime :2015-01-28 09:31:15 || tweets/hour :15
startTime :2015-01-28 09:31:15 || endTime :2015-01-28 10:31:15 || tweets/hour :5
startTime :2015-01-28 10:31:15 || endTime :2015-01-28 11:31:15 || tweets/hour :14
startTime :2015-01-28 11:31:15 || endTime :2015-01-28 12:31:15 || tweets/hour :20
startTime :2015-01-28 12:31:15 || endTime :2015-01-28 13:31:15 || tweets/hour :34
startTime :2015-01-28 13:31:15 || endTime :2015-01-28 14:31:15 || tweets/hour :9
startTime :2015-01-28 14:31:15 || endTime :2015-01-28 15:31:15 || tweets/hour :59
startTime :2015-01-28 15:31:15 || endTime :2015-01-28 16:31:15 || tweets/hour :79
startTime :2015-01-28 16:31:15 || endTime :2015-01-28 17:31:15 || tweets/hour :92
startTime :2015-01-28 17:31:15 || endTime :2015-01-28 18:31:15 || tweets/hour :151
startTime :2015-01-28 18:31:15 || endTime :2015-01-28 19:31:15 || tweets/hour :118
startTime :2015-01-28 19:31:15 || endTime :2015-01-28 20:31:15 || tweets/hour :103
startTime :2015-01-28 20:31:15 || endTime :2015-01-28 21:31:15 || tweets/hour :124
startTime :2015-01-28 21:31:15 || endTime :2015-01-28 22:31:15 || tweets/hour :96
startTime :2015-01-28 22:31:15 || endTime :2015-01-28 23:31:15 || tweets/hour :124
startTime :2015-01-28 23:31:15 || endTime :2015-01-29 00:31:15 || tweets/hour :81
startTime :2015-01-29 00:31:15 || endTime :2015-01-29 01:31:15 || tweets/hour :94
startTime :2015-01-29 01:31:15 || endTime :2015-01-29 02:31:15 || tweets/hour :88
startTime :2015-01-29 02:31:15 || endTime :2015-01-29 03:31:15 || tweets/hour :82
startTime :2015-01-29 03:31:15 || endTime :2015-01-29 04:31:15 || tweets/hour :41
startTime :2015-01-29 04:31:15 || endTime :2015-01-29 05:31:15 || tweets/hour :5
startTime :2015-01-29 05:31:15 || endTime :2015-01-29 06:31:15 || tweets/hour :5
startTime :2015-01-29 06:31:15 || endTime :2015-01-29 07:31:15 || tweets/hour :4
startTime :2015-01-29 07:31:15 || endTime :2015-01-29 08:31:15 || tweets/hour :23
startTime :2015-01-29 08:31:15 || endTime :2015-01-29 09:31:15 || tweets/hour :74
startTime :2015-01-29 09:31:15 || endTime :2015-01-29 10:31:15 || tweets/hour :53
startTime :2015-01-29 10:31:15 || endTime :2015-01-29 11:31:15 || tweets/hour :75
startTime :2015-01-29 11:31:15 || endTime :2015-01-29 12:31:15 || tweets/hour :120
startTime :2015-01-29 12:31:15 || endTime :2015-01-29 13:31:15 || tweets/hour :170
startTime :2015-01-29 13:31:15 || endTime :2015-01-29 14:31:15 || tweets/hour :208
startTime :2015-01-29 14:31:15 || endTime :2015-01-29 15:31:15 || tweets/hour :407
startTime :2015-01-29 15:31:15 || endTime :2015-01-29 16:31:15 || tweets/hour :564
startTime :2015-01-29 16:31:15 || endTime :2015-01-29 17:31:15 || tweets/hour :688
startTime :2015-01-29 17:31:15 || endTime :2015-01-29 18:31:15 || tweets/hour :817
startTime :2015-01-29 18:31:15 || endTime :2015-01-29 19:31:15 || tweets/hour :768
startTime :2015-01-29 19:31:15 || endTime :2015-01-29 20:31:15 || tweets/hour :537
startTime :2015-01-29 20:31:15 || endTime :2015-01-29 21:31:15 || tweets/hour :568
startTime :2015-01-29 21:31:15 || endTime :2015-01-29 22:31:15 || tweets/hour :697
startTime :2015-01-29 22:31:15 || endTime :2015-01-29 23:31:15 || tweets/hour :714
startTime :2015-01-29 23:31:15 || endTime :2015-01-30 00:31:15 || tweets/hour :640
startTime :2015-01-30 00:31:15 || endTime :2015-01-30 01:31:15 || tweets/hour :778
startTime :2015-01-30 01:31:15 || endTime :2015-01-30 02:31:15 || tweets/hour :435
startTime :2015-01-30 02:31:15 || endTime :2015-01-30 03:31:15 || tweets/hour :503
startTime :2015-01-30 03:31:15 || endTime :2015-01-30 04:31:15 || tweets/hour :597
startTime :2015-01-30 04:31:15 || endTime :2015-01-30 05:31:15 || tweets/hour :59
startTime :2015-01-30 05:31:15 || endTime :2015-01-30 06:31:15 || tweets/hour :371
startTime :2015-01-30 06:31:15 || endTime :2015-01-30 07:31:15 || tweets/hour :183
startTime :2015-01-30 07:31:15 || endTime :2015-01-30 08:31:15 || tweets/hour :134
startTime :2015-01-30 08:31:15 || endTime :2015-01-30 09:31:15 || tweets/hour :81
startTime :2015-01-30 09:31:15 || endTime :2015-01-30 10:31:15 || tweets/hour :86
startTime :2015-01-30 10:31:15 || endTime :2015-01-30 11:31:15 || tweets/hour :112
startTime :2015-01-30 11:31:15 || endTime :2015-01-30 12:31:15 || tweets/hour :173
startTime :2015-01-30 12:31:15 || endTime :2015-01-30 13:31:15 || tweets/hour :75
startTime :2015-01-30 13:31:15 || endTime :2015-01-30 14:31:15 || tweets/hour :71
startTime :2015-01-30 14:31:15 || endTime :2015-01-30 15:31:15 || tweets/hour :563
startTime :2015-01-30 15:31:15 || endTime :2015-01-30 16:31:15 || tweets/hour :1007
startTime :2015-01-30 16:31:15 || endTime :2015-01-30 17:31:15 || tweets/hour :825
startTime :2015-01-30 17:31:15 || endTime :2015-01-30 18:31:15 || tweets/hour :620
startTime :2015-01-30 18:31:15 || endTime :2015-01-30 19:31:15 || tweets/hour :1210
startTime :2015-01-30 19:31:15 || endTime :2015-01-30 20:31:15 || tweets/hour :1187
startTime :2015-01-30 20:31:15 || endTime :2015-01-30 21:31:15 || tweets/hour :1009
startTime :2015-01-30 21:31:15 || endTime :2015-01-30 22:31:15 || tweets/hour :937
startTime :2015-01-30 22:31:15 || endTime :2015-01-30 23:31:15 || tweets/hour :759
startTime :2015-01-30 23:31:15 || endTime :2015-01-31 00:31:15 || tweets/hour :594
startTime :2015-01-31 00:31:15 || endTime :2015-01-31 01:31:15 || tweets/hour :94
startTime :2015-01-31 01:31:15 || endTime :2015-01-31 02:31:15 || tweets/hour :167
startTime :2015-01-31 02:31:15 || endTime :2015-01-31 03:31:15 || tweets/hour :125
startTime :2015-01-31 03:31:15 || endTime :2015-01-31 04:31:15 || tweets/hour :122
startTime :2015-01-31 04:31:15 || endTime :2015-01-31 05:31:15 || tweets/hour :121
startTime :2015-01-31 05:31:15 || endTime :2015-01-31 06:31:15 || tweets/hour :97
startTime :2015-01-31 06:31:15 || endTime :2015-01-31 07:31:15 || tweets/hour :43
startTime :2015-01-31 07:31:15 || endTime :2015-01-31 08:31:15 || tweets/hour :50
startTime :2015-01-31 08:31:15 || endTime :2015-01-31 09:31:15 || tweets/hour :40
startTime :2015-01-31 09:31:15 || endTime :2015-01-31 10:31:15 || tweets/hour :34
startTime :2015-01-31 10:31:15 || endTime :2015-01-31 11:31:15 || tweets/hour :22
startTime :2015-01-31 11:31:15 || endTime :2015-01-31 12:31:15 || tweets/hour :39
startTime :2015-01-31 12:31:15 || endTime :2015-01-31 13:31:15 || tweets/hour :48
startTime :2015-01-31 13:31:15 || endTime :2015-01-31 14:31:15 || tweets/hour :70
startTime :2015-01-31 14:31:15 || endTime :2015-01-31 15:31:15 || tweets/hour :118
startTime :2015-01-31 15:31:15 || endTime :2015-01-31 16:31:15 || tweets/hour :197
startTime :2015-01-31 16:31:15 || endTime :2015-01-31 17:31:15 || tweets/hour :227
startTime :2015-01-31 17:31:15 || endTime :2015-01-31 18:31:15 || tweets/hour :245
startTime :2015-01-31 18:31:15 || endTime :2015-01-31 19:31:15 || tweets/hour :280
startTime :2015-01-31 19:31:15 || endTime :2015-01-31 20:31:15 || tweets/hour :331
startTime :2015-01-31 20:31:15 || endTime :2015-01-31 21:31:15 || tweets/hour :379
startTime :2015-01-31 21:31:15 || endTime :2015-01-31 22:31:15 || tweets/hour :341
startTime :2015-01-31 22:31:15 || endTime :2015-01-31 23:31:15 || tweets/hour :357
startTime :2015-01-31 23:31:15 || endTime :2015-02-01 00:31:15 || tweets/hour :573
startTime :2015-02-01 00:31:15 || endTime :2015-02-01 01:31:15 || tweets/hour :893
startTime :2015-02-01 01:31:15 || endTime :2015-02-01 02:31:15 || tweets/hour :955
startTime :2015-02-01 02:31:15 || endTime :2015-02-01 03:31:15 || tweets/hour :697
startTime :2015-02-01 03:31:15 || endTime :2015-02-01 04:31:15 || tweets/hour :547
startTime :2015-02-01 04:31:15 || endTime :2015-02-01 05:31:15 || tweets/hour :732
startTime :2015-02-01 05:31:15 || endTime :2015-02-01 06:31:15 || tweets/hour :685
startTime :2015-02-01 06:31:15 || endTime :2015-02-01 07:31:15 || tweets/hour :503
startTime :2015-02-01 07:31:15 || endTime :2015-02-01 08:31:15 || tweets/hour :486
startTime :2015-02-01 08:31:15 || endTime :2015-02-01 09:31:15 || tweets/hour :459
startTime :2015-02-01 09:31:15 || endTime :2015-02-01 10:31:15 || tweets/hour :308
startTime :2015-02-01 10:31:15 || endTime :2015-02-01 11:31:15 || tweets/hour :347
startTime :2015-02-01 11:31:15 || endTime :2015-02-01 12:31:15 || tweets/hour :400
startTime :2015-02-01 12:31:15 || endTime :2015-02-01 13:31:15 || tweets/hour :788
startTime :2015-02-01 13:31:15 || endTime :2015-02-01 14:31:15 || tweets/hour :1585
startTime :2015-02-01 14:31:15 || endTime :2015-02-01 15:31:15 || tweets/hour :2319
startTime :2015-02-01 15:31:15 || endTime :2015-02-01 16:31:15 || tweets/hour :2914
startTime :2015-02-01 16:31:15 || endTime :2015-02-01 17:31:15 || tweets/hour :1409
startTime :2015-02-01 17:31:15 || endTime :2015-02-01 18:31:15 || tweets/hour :4502
startTime :2015-02-01 18:31:15 || endTime :2015-02-01 19:31:15 || tweets/hour :74374
startTime :2015-02-01 19:31:15 || endTime :2015-02-01 20:31:15 || tweets/hour :110426
startTime :2015-02-01 20:31:15 || endTime :2015-02-01 21:31:15 || tweets/hour :84645
startTime :2015-02-01 21:31:15 || endTime :2015-02-01 22:31:15 || tweets/hour :65776
startTime :2015-02-01 22:31:15 || endTime :2015-02-01 23:31:15 || tweets/hour :84714
startTime :2015-02-01 23:31:15 || endTime :2015-02-02 00:31:15 || tweets/hour :92759
startTime :2015-02-02 00:31:15 || endTime :2015-02-02 01:31:15 || tweets/hour :98152
startTime :2015-02-02 01:31:15 || endTime :2015-02-02 02:31:15 || tweets/hour :59976
startTime :2015-02-02 02:31:15 || endTime :2015-02-02 03:31:15 || tweets/hour :37969
startTime :2015-02-02 03:31:15 || endTime :2015-02-02 04:31:15 || tweets/hour :5768
startTime :2015-02-02 04:31:15 || endTime :2015-02-02 05:31:15 || tweets/hour :4762
startTime :2015-02-02 05:31:15 || endTime :2015-02-02 06:31:15 || tweets/hour :4128
startTime :2015-02-02 06:31:15 || endTime :2015-02-02 07:31:15 || tweets/hour :2794
startTime :2015-02-02 07:31:15 || endTime :2015-02-02 08:31:15 || tweets/hour :1540
startTime :2015-02-02 08:31:15 || endTime :2015-02-02 09:31:15 || tweets/hour :1152
startTime :2015-02-02 09:31:15 || endTime :2015-02-02 10:31:15 || tweets/hour :920
startTime :2015-02-02 10:31:15 || endTime :2015-02-02 11:31:15 || tweets/hour :1171
startTime :2015-02-02 11:31:15 || endTime :2015-02-02 12:31:15 || tweets/hour :1544
startTime :2015-02-02 12:31:15 || endTime :2015-02-02 13:31:15 || tweets/hour :1906
startTime :2015-02-02 13:31:15 || endTime :2015-02-02 14:31:15 || tweets/hour :1842
startTime :2015-02-02 14:31:15 || endTime :2015-02-02 15:31:15 || tweets/hour :2417
startTime :2015-02-02 15:31:15 || endTime :2015-02-02 16:31:15 || tweets/hour :1642
startTime :2015-02-02 16:31:15 || endTime :2015-02-02 17:31:15 || tweets/hour :2699
startTime :2015-02-02 17:31:15 || endTime :2015-02-02 18:31:15 || tweets/hour :2293
startTime :2015-02-02 18:31:15 || endTime :2015-02-02 19:31:15 || tweets/hour :1859
startTime :2015-02-02 19:31:15 || endTime :2015-02-02 20:31:15 || tweets/hour :1719
startTime :2015-02-02 20:31:15 || endTime :2015-02-02 21:31:15 || tweets/hour :1503
startTime :2015-02-02 21:31:15 || endTime :2015-02-02 22:31:15 || tweets/hour :1500
startTime :2015-02-02 22:31:15 || endTime :2015-02-02 23:31:15 || tweets/hour :1347
startTime :2015-02-02 23:31:15 || endTime :2015-02-03 00:31:15 || tweets/hour :1192
startTime :2015-02-03 00:31:15 || endTime :2015-02-03 01:31:15 || tweets/hour :1278
startTime :2015-02-03 01:31:15 || endTime :2015-02-03 02:31:15 || tweets/hour :923
startTime :2015-02-03 02:31:15 || endTime :2015-02-03 03:31:15 || tweets/hour :867
startTime :2015-02-03 03:31:15 || endTime :2015-02-03 04:31:15 || tweets/hour :751
startTime :2015-02-03 04:31:15 || endTime :2015-02-03 05:31:15 || tweets/hour :500
startTime :2015-02-03 05:31:15 || endTime :2015-02-03 06:31:15 || tweets/hour :422
startTime :2015-02-03 06:31:15 || endTime :2015-02-03 07:31:15 || tweets/hour :281
startTime :2015-02-03 07:31:15 || endTime :2015-02-03 08:31:15 || tweets/hour :152
startTime :2015-02-03 08:31:15 || endTime :2015-02-03 09:31:15 || tweets/hour :140
startTime :2015-02-03 09:31:15 || endTime :2015-02-03 10:31:15 || tweets/hour :94
startTime :2015-02-03 10:31:15 || endTime :2015-02-03 11:31:15 || tweets/hour :128
startTime :2015-02-03 11:31:15 || endTime :2015-02-03 12:31:15 || tweets/hour :207
startTime :2015-02-03 12:31:15 || endTime :2015-02-03 13:31:15 || tweets/hour :239
startTime :2015-02-03 13:31:15 || endTime :2015-02-03 14:31:15 || tweets/hour :323
startTime :2015-02-03 14:31:15 || endTime :2015-02-03 15:31:15 || tweets/hour :403
startTime :2015-02-03 15:31:15 || endTime :2015-02-03 16:31:15 || tweets/hour :501
startTime :2015-02-03 16:31:15 || endTime :2015-02-03 17:31:15 || tweets/hour :514
startTime :2015-02-03 17:31:15 || endTime :2015-02-03 18:31:15 || tweets/hour :569
startTime :2015-02-03 18:31:15 || endTime :2015-02-03 19:31:15 || tweets/hour :449
startTime :2015-02-03 19:31:15 || endTime :2015-02-03 20:31:15 || tweets/hour :374
startTime :2015-02-03 20:31:15 || endTime :2015-02-03 21:31:15 || tweets/hour :395
startTime :2015-02-03 21:31:15 || endTime :2015-02-03 22:31:15 || tweets/hour :404
startTime :2015-02-03 22:31:15 || endTime :2015-02-03 23:31:15 || tweets/hour :250
startTime :2015-02-03 23:31:15 || endTime :2015-02-04 00:31:15 || tweets/hour :259
startTime :2015-02-04 00:31:15 || endTime :2015-02-04 01:31:15 || tweets/hour :289
startTime :2015-02-04 01:31:15 || endTime :2015-02-04 02:31:15 || tweets/hour :245
startTime :2015-02-04 02:31:15 || endTime :2015-02-04 03:31:15 || tweets/hour :180
startTime :2015-02-04 03:31:15 || endTime :2015-02-04 04:31:15 || tweets/hour :193
startTime :2015-02-04 04:31:15 || endTime :2015-02-04 05:31:15 || tweets/hour :149
startTime :2015-02-04 05:31:15 || endTime :2015-02-04 06:31:15 || tweets/hour :104
startTime :2015-02-04 06:31:15 || endTime :2015-02-04 07:31:15 || tweets/hour :58
startTime :2015-02-04 07:31:15 || endTime :2015-02-04 08:31:15 || tweets/hour :53
startTime :2015-02-04 08:31:15 || endTime :2015-02-04 09:31:15 || tweets/hour :45
startTime :2015-02-04 09:31:15 || endTime :2015-02-04 10:31:15 || tweets/hour :40
startTime :2015-02-04 10:31:15 || endTime :2015-02-04 11:31:15 || tweets/hour :28
startTime :2015-02-04 11:31:15 || endTime :2015-02-04 12:31:15 || tweets/hour :48
startTime :2015-02-04 12:31:15 || endTime :2015-02-04 13:31:15 || tweets/hour :90
startTime :2015-02-04 13:31:15 || endTime :2015-02-04 14:31:15 || tweets/hour :126
startTime :2015-02-04 14:31:15 || endTime :2015-02-04 15:31:15 || tweets/hour :144
startTime :2015-02-04 15:31:15 || endTime :2015-02-04 16:31:15 || tweets/hour :207
startTime :2015-02-04 16:31:15 || endTime :2015-02-04 17:31:15 || tweets/hour :243
startTime :2015-02-04 17:31:15 || endTime :2015-02-04 18:31:15 || tweets/hour :220
startTime :2015-02-04 18:31:15 || endTime :2015-02-04 19:31:15 || tweets/hour :271
startTime :2015-02-04 19:31:15 || endTime :2015-02-04 20:31:15 || tweets/hour :167
startTime :2015-02-04 20:31:15 || endTime :2015-02-04 21:31:15 || tweets/hour :111
startTime :2015-02-04 21:31:15 || endTime :2015-02-04 22:31:15 || tweets/hour :151
startTime :2015-02-04 22:31:15 || endTime :2015-02-04 23:31:15 || tweets/hour :130
startTime :2015-02-04 23:31:15 || endTime :2015-02-05 00:31:15 || tweets/hour :201
startTime :2015-02-05 00:31:15 || endTime :2015-02-05 01:31:15 || tweets/hour :111
startTime :2015-02-05 01:31:15 || endTime :2015-02-05 02:31:15 || tweets/hour :247
startTime :2015-02-05 02:31:15 || endTime :2015-02-05 03:31:15 || tweets/hour :179
startTime :2015-02-05 03:31:15 || endTime :2015-02-05 04:31:15 || tweets/hour :122
startTime :2015-02-05 04:31:15 || endTime :2015-02-05 05:31:15 || tweets/hour :91
startTime :2015-02-05 05:31:15 || endTime :2015-02-05 06:31:15 || tweets/hour :81
startTime :2015-02-05 06:31:15 || endTime :2015-02-05 07:31:15 || tweets/hour :48
startTime :2015-02-05 07:31:15 || endTime :2015-02-05 08:31:15 || tweets/hour :39
startTime :2015-02-05 08:31:15 || endTime :2015-02-05 09:31:15 || tweets/hour :32
startTime :2015-02-05 09:31:15 || endTime :2015-02-05 10:31:15 || tweets/hour :22
startTime :2015-02-05 10:31:15 || endTime :2015-02-05 11:31:15 || tweets/hour :24
startTime :2015-02-05 11:31:15 || endTime :2015-02-05 12:31:15 || tweets/hour :42
startTime :2015-02-05 12:31:15 || endTime :2015-02-05 13:31:15 || tweets/hour :72
startTime :2015-02-05 13:31:15 || endTime :2015-02-05 14:31:15 || tweets/hour :76
startTime :2015-02-05 14:31:15 || endTime :2015-02-05 15:31:15 || tweets/hour :92
startTime :2015-02-05 15:31:15 || endTime :2015-02-05 16:31:15 || tweets/hour :111
startTime :2015-02-05 16:31:15 || endTime :2015-02-05 17:31:15 || tweets/hour :121
startTime :2015-02-05 17:31:15 || endTime :2015-02-05 18:31:15 || tweets/hour :133
startTime :2015-02-05 18:31:15 || endTime :2015-02-05 19:31:15 || tweets/hour :78
startTime :2015-02-05 19:31:15 || endTime :2015-02-05 20:31:15 || tweets/hour :85
startTime :2015-02-05 20:31:15 || endTime :2015-02-05 21:31:15 || tweets/hour :78
startTime :2015-02-05 21:31:15 || endTime :2015-02-05 22:31:15 || tweets/hour :111
startTime :2015-02-05 22:31:15 || endTime :2015-02-05 23:31:15 || tweets/hour :98
startTime :2015-02-05 23:31:15 || endTime :2015-02-06 00:31:15 || tweets/hour :75
startTime :2015-02-06 00:31:15 || endTime :2015-02-06 01:31:15 || tweets/hour :99
startTime :2015-02-06 01:31:15 || endTime :2015-02-06 02:31:15 || tweets/hour :117
startTime :2015-02-06 02:31:15 || endTime :2015-02-06 03:31:15 || tweets/hour :70
startTime :2015-02-06 03:31:15 || endTime :2015-02-06 04:31:15 || tweets/hour :51
startTime :2015-02-06 04:31:15 || endTime :2015-02-06 05:31:15 || tweets/hour :128
startTime :2015-02-06 05:31:15 || endTime :2015-02-06 06:31:15 || tweets/hour :92
startTime :2015-02-06 06:31:15 || endTime :2015-02-06 07:31:15 || tweets/hour :17
startTime :2015-02-06 07:31:15 || endTime :2015-02-06 08:31:15 || tweets/hour :49
startTime :2015-02-06 08:31:15 || endTime :2015-02-06 09:31:15 || tweets/hour :24
startTime :2015-02-06 09:31:15 || endTime :2015-02-06 10:31:15 || tweets/hour :24
startTime :2015-02-06 10:31:15 || endTime :2015-02-06 11:31:15 || tweets/hour :26
startTime :2015-02-06 11:31:15 || endTime :2015-02-06 12:31:15 || tweets/hour :51
startTime :2015-02-06 12:31:15 || endTime :2015-02-06 13:31:15 || tweets/hour :24
startTime :2015-02-06 13:31:15 || endTime :2015-02-06 14:31:15 || tweets/hour :30
startTime :2015-02-06 14:31:15 || endTime :2015-02-06 15:31:15 || tweets/hour :133
startTime :2015-02-06 15:31:15 || endTime :2015-02-06 16:31:15 || tweets/hour :120
startTime :2015-02-06 16:31:15 || endTime :2015-02-06 17:31:15 || tweets/hour :96
startTime :2015-02-06 17:31:15 || endTime :2015-02-06 18:31:15 || tweets/hour :77
startTime :2015-02-06 18:31:15 || endTime :2015-02-06 19:31:15 || tweets/hour :70
startTime :2015-02-06 19:31:15 || endTime :2015-02-06 20:31:15 || tweets/hour :87
startTime :2015-02-06 20:31:15 || endTime :2015-02-06 21:31:15 || tweets/hour :89
startTime :2015-02-06 21:31:15 || endTime :2015-02-06 22:31:15 || tweets/hour :116
startTime :2015-02-06 22:31:15 || endTime :2015-02-06 23:31:15 || tweets/hour :108
startTime :2015-02-06 23:31:15 || endTime :2015-02-07 00:31:15 || tweets/hour :71
startTime :2015-02-07 00:31:15 || endTime :2015-02-07 01:31:15 || tweets/hour :66
startTime :2015-02-07 01:31:15 || endTime :2015-02-07 02:31:15 || tweets/hour :48
startTime :2015-02-07 02:31:15 || endTime :2015-02-07 03:31:15 || tweets/hour :65
startTime :2015-02-07 03:31:15 || endTime :2015-02-07 04:31:15 || tweets/hour :45
startTime :2015-02-07 04:31:15 || endTime :2015-02-07 05:31:15 || tweets/hour :40
startTime :2015-02-07 05:31:15 || endTime :2015-02-07 06:31:15 || tweets/hour :28
startTime :2015-02-07 06:31:15 || endTime :2015-02-07 07:31:15 || tweets/hour :19
startTime :2015-02-07 07:31:15 || endTime :2015-02-07 08:31:15 || tweets/hour :24
startTime :2015-02-07 08:31:15 || endTime :2015-02-07 09:31:15 || tweets/hour :24
startTime :2015-02-07 09:31:15 || endTime :2015-02-07 10:31:15 || tweets/hour :27
startTime :2015-02-07 10:31:15 || endTime :2015-02-07 11:31:15 || tweets/hour :17
startTime :2015-02-07 11:31:15 || endTime :2015-02-07 12:31:15 || tweets/hour :13
startTime :2015-02-07 12:31:15 || endTime :2015-02-07 13:31:15 || tweets/hour :18
startTime :2015-02-07 13:31:15 || endTime :2015-02-07 14:31:15 || tweets/hour :41
startTime :2015-02-07 14:31:15 || endTime :2015-02-07 15:31:15 || tweets/hour :53
startTime :2015-02-07 15:31:15 || endTime :2015-02-07 16:31:15 || tweets/hour :69
startTime :2015-02-07 16:31:15 || endTime :2015-02-07 17:31:15 || tweets/hour :46
startTime :2015-02-07 17:31:15 || endTime :2015-02-07 18:31:15 || tweets/hour :52
startTime :2015-02-07 18:31:15 || endTime :2015-02-07 19:31:15 || tweets/hour :16
